stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,h3_7,h3_8,h3_9,h3_10
7223,57152.0,Northbound 222 St @ 48 Ave,,49.090087,-122.607993,BUS ZN,,0,,1,8728ded2affffff,8828ded2a7fffff,8928ded2a67ffff,8a28ded2a65ffff
7225,57154.0,Eastbound Fraser Hwy @ 232 St,,49.081612,-122.579914,BUS ZN,,0,,1,8728ded05ffffff,8828ded057fffff,8928ded0567ffff,8a28ded05677fff
7226,57155.0,Eastbound Fraser Hwy @ 240 St,,49.074036,-122.558375,BUS ZN,,0,,1,8728ded04ffffff,8828ded043fffff,8928ded042fffff,8a28ded042f7fff
7227,57156.0,Eastbound Fraser Hwy @ 244 St,,49.07163,-122.547499,BUS ZN,,0,,1,8728ded04ffffff,8828ded047fffff,8928ded0473ffff,8a28ded04707fff
7229,57158.0,Eastbound Fraser Hwy @ 256 St,,49.063534,-122.51215,BUS ZN,,0,,1,8728ded31ffffff,8828ded315fffff,8928ded314fffff,8a28ded314e7fff
723,50716.0,Northbound Nanaimo St @ E 20 Ave,,49.252691,-123.056482,BUS ZN,,0,,1,8728de8d0ffffff,8828de8d0dfffff,8928de8d053ffff,8a28de8d0527fff
724,50717.0,Northbound Nanaimo St @ E 17 Ave,,49.255356,-123.056484,BUS ZN,,0,,1,8728de8d0ffffff,8828de8d05fffff,8928de8d043ffff,8a28de8d0427fff
7242,57171.0,Westbound Fraser Hwy @ 264 St,,49.05979,-122.493763,BUS ZN,,0,,1,8728ded30ffffff,8828ded307fffff,8928ded3067ffff,8a28ded30677fff
7243,57172.0,Westbound Fraser Hwy @ 256 St,,49.063719,-122.512207,BUS ZN,,0,,2,8728ded31ffffff,8828ded315fffff,8928ded314fffff,8a28ded314e7fff
7244,57173.0,Westbound Fraser Hwy @ 248 St,,49.069609,-122.537425,BUS ZN,,0,,1,8728ded04ffffff,8828ded045fffff,8928ded0443ffff,8a28ded04417fff
7245,57174.0,Westbound Fraser Hwy @ 244 St,,49.072008,-122.548571,BUS ZN,,0,,1,8728ded04ffffff,8828ded047fffff,8928ded0473ffff,8a28ded0470ffff
7246,57175.0,Westbound Fraser Hwy @ 240 St,,49.074772,-122.560083,BUS ZN,,0,,1,8728ded04ffffff,8828ded043fffff,8928ded042fffff,8a28ded042c7fff
